index,prediction,,
0,2.63 inch,,
1,42.0 centimeter,,
2,42.0 centimeter,,
3,42.0 centimeter,,
4,10.5 centimeter,,
5,10.5 centimeter,,
6,10.5 centimeter,,
7,4.0 inch,,
8,40.0 centimeter,,
9,40.0 centimeter,,
10,,,
11,30.6 centimeter,,
12,4.3 inch,,
13,4.3 inch,,
14,4.3 inch,,
15,,,
16,,,
17,2.0 gram,,
18,,,
19,240.0 volt,,
20,76.0 centimeter,,
21,,,
22,,,
23,185.0 centimeter,,
24,185.0 centimeter,,
25,3.8 inch,,
26,3.8 inch,,
27,,,
28,9.5 kilogram,,
29,2.62 pound,,
30,,,
31,,,
32,5.8 inch,,
33,5.8 inch,,
34,5.8 inch,,
35,,,
36,-194.3 centimeter,,
37,,,
38,8.0 watt,,
39,5.4 inch,,
40,5.4 inch,,
41,,,
42,48.0 inch,,
43,48.0 inch,,
44,60.0 centimeter,,
45,5.8 inch,,
46,5.8 inch,,
47,5.8 inch,,
48,90.0 centimeter,,
49,90.0 centimeter,,
50,90.0 centimeter,,
51,,,
52,,,
53,5.0 inch,,
54,5.0 inch,,
55,12.7 centimeter,,
56,,,
57,5.4 inch,,
58,5.4 inch,,
59,,,
60,,,
61,48.0 gram,,
62,100.0 meter,,
63,100.0 meter,,
64,100.0 meter,,
65,3.7 volt,,
66,,,
67,-383.5 centimeter,,
68,4.2 inch,,
69,4.2 inch,,
70,4.2 inch,,
71,9.1 inch,,
72,9.1 inch,,
73,9.1 inch,,
74,1500.0 watt,,
75,,,
76,4.7 inch,,
77,4.7 inch,,
78,240.0 gram,,
79,50.0 centimeter,,
80,,,
81,243.0 pound,,
82,11.1 pound,,
83,10.0 ounce,,
84,39.0 inch,,
85,39.0 inch,,
86,39.0 inch,,
87,,,
88,,,
89,,,
90,60.0 centimeter,,
91,200.0 pound,,
92,400.0 meter,,
93,,,
94,,,
95,14.0 centimeter,,
96,14.0 centimeter,,
97,9.6 volt,,
98,3.8 centimeter,,
99,14.9 inch,,
100,37.0 inch,,
101,59.0 millilitre,,
102,,,
103,90.0 centimeter,,
104,40.0 centimeter,,
105,16.0 centimeter,,
106,16.0 centimeter,,
107,110.0 centimeter,,
108,,,
109,40.0 centimeter,,
110,80.0 centimeter,,
111,,,
112,1650.0 watt,,
113,,,
114,,,
115,500.0 watt,,
116,1.05 ounce,,
117,,,
118,45.0 centimeter,,
119,45.0 centimeter,,
120,,,
121,31.0 centimeter,,
122,250.0 gram,,
123,660.0 pound,,
124,,,
125,,,
126,12.0 volt,,
127,191.0 centimeter,,
128,180.0 centimeter,,
129,,,
130,40.0 centimeter,,
131,25.6 inch,,
132,25.6 inch,,
133,25.6 inch,,
134,50.0 pound,,
135,20.0 centimeter,,
136,20.0 centimeter,,
137,18.5 centimeter,,
138,29.95 centimeter,,
139,100.0 meter,,
140,100.0 meter,,
141,3.0 centimeter,,
142,208.3 centimeter,,
143,208.3 centimeter,,
144,90.0 centimeter,,
145,90.0 centimeter,,
146,90.0 centimeter,,
147,20.0 liter,,
148,50.0 centimeter,,
149,50.0 centimeter,,
150,104.0 gram,,
151,74.93 centimeter,,
152,7.86 inch,,
153,7.86 inch,,
154,5.0 centimeter,,
155,5.0 centimeter,,
156,50.0 meter,,
157,,,
158,,,
159,,,
160,13.0 centimeter,,
161,,,
162,82.0 centimeter,,
163,,,
164,,,
165,,,
166,,,
167,6.0 kilogram,,
168,35.0 centimeter,,
169,35.0 centimeter,,
170,,,
171,,,
172,,,
173,7.8 inch,,
174,7.8 inch,,
175,14.0 centimeter,,
176,,,
177,14.8 inch,,
178,20.0 pound,,
179,5.9 inch,,
180,5.9 inch,,
181,32.0 ounce,,
182,5.0 centimeter,,
183,,,
184,,,
185,,,
186,7.19 centimeter,,
187,7.19 centimeter,,
188,2.7 inch,,
189,2.7 inch,,
190,0.35 ounce,,
191,40.0 centimeter,,
192,40.0 centimeter,,
193,6.2 pound,,
194,20.0 centimeter,,
195,27.4 centimeter,,
196,27.4 centimeter,,
197,40.0 pound,,
198,33.0 gram,,
199,455.0 gram,,
200,37.5 centimeter,,
201,37.5 centimeter,,
202,37.5 centimeter,,
203,10.0 inch,,
204,10.0 inch,,
205,1700.0 watt,,
206,,,
207,11.0 inch,,
208,,,
209,8.0 kilogram,,
210,213.5 meter,,
211,3.5 gram,,
212,128.0 centimeter,,
213,5.0 volt,,
214,60.0 centimeter,,
215,60.0 centimeter,,
216,12.0 volt,,
217,,,
218,,,
219,,,
220,8.1 inch,,
221,8.1 inch,,
222,43.18 centimeter,,
